order,batch,studio_name,city,telegram_url,first_sent,due,status,sent_at,replied,note,followup_message
11,B,MK STUDIO,Санкт-Петербург,https://t.me/gosteva_maria,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,"wave2 Санкт-Петербург; запись @gosteva_maria — личный username, проверить; wave2 follow-up sent","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
12,B,ONEONE STUDIO,Санкт-Петербург,https://t.me/ONEONE_SPB,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; studiorent; залов: 3; Telegram из блока связи с предзаполненным текстом; evidenc; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
13,B,SPBFOTO,Санкт-Петербург,https://t.me/spbfotocom,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidenc; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
14,B,VIDEOROOM,Санкт-Петербург,https://t.me/videoroom_pro,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidenc; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
15,B,VISUAL Studio,Санкт-Петербург,https://t.me/visual_studio_spb,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; админ; на сайте тоже бронь — текст как у С9; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
16,B,lenina33apt,Санкт-Петербург,https://t.me/lenina33apt,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; studiorent; залов: 2; Telegram из блока связи с предзаполненным текстом; evidenc; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
17,B,Грани,Санкт-Петербург,https://t.me/grani_studio,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,"wave2 Санкт-Петербург; есть appevent — текст про Telegram, не вместо сайта; wave2 follow-up sent","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
18,B,Две Дорожки,Санкт-Петербург,https://t.me/dvedorozhki,2026-09-05,2026-09-19,отправлено,2026-09-19 11:40,,wave2 Санкт-Петербург; studiorent; залов: 1; Telegram из блока связи с предзаполненным текстом; evidenc; wave2 follow-up sent,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
19,B,Тигра лютая,Санкт-Петербург,https://t.me/tigraphotostudio,2026-09-05,2026-09-19,пауза — временный бан,,,wave2 Санкт-Петербург; это канал — писать в ЛС канала; если нет формы — skip; пауза: временный бан TG после №18,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
20,C,Art Republic,Екатеринбург,https://t.me/artrepublicekb,2026-09-05,2026-09-19,пауза — временный бан,,,wave2 Екатеринбург; Источник: публичный t.me-превью Art Republic с кнопкой Send Message; визуально п; пауза: временный бан TG после №18,"Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
21,C,Laboratory,Екатеринбург,https://t.me/arenda_head_lab,2026-09-05,2026-09-19,пауза — временный бан,,,"wave2 Екатеринбург; Источник: Taplink Laboratory, кнопка «НАПИСАТЬ В TELEGRAM» с подписью «управляющ; пауза: временный бан TG после №18","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
22,C,Light Room,Екатеринбург,https://t.me/LightRoom38,2026-09-05,2026-09-19,пауза — временный бан,,,"wave2 Екатеринбург; Источник: сайт lightroom-studio.ru, кнопка «написать в Телеграмм»; проверить, чт; пауза: временный бан TG после №18","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
23,C,Reference,Екатеринбург,https://t.me/REFERENCE_EKB,2026-09-05,2026-09-19,пауза — временный бан,,,"wave2 Екатеринбург; Источник: Taplink Reference, блок «Написать нам в Телеграм»; проверить, что @REF; пауза: временный бан TG после №18","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
24,C,Stories,Екатеринбург,https://t.me/StudioStories,2026-09-05,2026-09-19,пауза — временный бан,,,"wave2 Екатеринбург; Источник: сайт storiesstudio.ru, кнопка Telegram; визуально проверить, что @Stud; пауза: временный бан TG после №18","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
25,C,Studio205,Екатеринбург,https://t.me/olg_go,2026-09-05,2026-09-19,пауза — временный бан,,,"wave2 Екатеринбург; Источник: Taplink Studio205, кнопка «ХОЧУ ЗАБРОНИРОВАТЬ КАБИНЕТ» → @olg_go; пров; пауза: временный бан TG после №18","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
26,C,Квартира 9,Екатеринбург,https://t.me/dianastre,2026-09-05,2026-09-19,пауза — временный бан,,,"wave2 Екатеринбург; Источник: Taplink Квартира 9, messenger «Связаться и забронировать» → @dianastre; пауза: временный бан TG после №18","Подскажите, запись у вас всё ещё руками в Telegram или уже чем-то закрыли?\nЕсли руками — могу показать демо за 2 минуты: https://t.me/Studio_book_bot\nЕсли не актуально — напишите, больше не потревожу."
